iter	RMSE
0	1.341453411
1	1.281624249
2	1.225039948
3	1.169803524
4	1.120138717
5	1.07190438
6	1.027054582
7	0.9845645087
8	0.9441796242
9	0.9069239933
10	0.8730508708
11	0.8378573212
12	0.8066825004
13	0.7759089484
14	0.7483312913
15	0.7217310569
16	0.6957194023
17	0.6693222038
18	0.6462697352
19	0.623145576
20	0.6017064105
21	0.5825046618
22	0.5620774983
23	0.5432815507
24	0.5261442615
25	0.5094533402
26	0.4937803685
27	0.4794829815
28	0.464775267
29	0.4503497205
30	0.4375969496
31	0.4257247401
32	0.4144777081
33	0.4031317345
34	0.3932482378
35	0.3822425516
36	0.3718946787
37	0.3615230151
38	0.3527207625
39	0.3434431985
40	0.334879875
41	0.3267636973
42	0.3193770122
43	0.3123236204
44	0.3050392556
45	0.298563912
46	0.2921449775
47	0.2861337736
48	0.2800273423
49	0.2742709867
50	0.26872378
51	0.2632403875
52	0.2580476208
53	0.253197731
54	0.2485777664
55	0.2432895515
56	0.2382647726
57	0.2341691617
58	0.2296560859
59	0.2250931945
60	0.221170003
61	0.2174830817
62	0.213568518
63	0.2102954216
64	0.2065752072
65	0.2033139157
66	0.2002184469
67	0.1966956572
68	0.1934742371
69	0.1905407387
70	0.1875802389
71	0.1848386469
72	0.181972491
73	0.1790326338
74	0.1767848587
75	0.1742765674
76	0.1718467292
77	0.1697236593
78	0.167226459
79	0.1649139176
80	0.1625359082
81	0.1603167405
82	0.1582752433
83	0.1562625178
84	0.1544416125
85	0.1525132642
86	0.1507988544
87	0.1490732181
88	0.1476435941
89	0.1458923837
90	0.1443244002
91	0.1428792104
92	0.1413974108
93	0.1398570899
94	0.1383370555
95	0.1371806584
96	0.1360298837
97	0.1345312664
98	0.1334389044
99	0.1321026846
100	0.1309690965
101	0.1298919574
102	0.1288772466
103	0.1277058095
104	0.1265902442
105	0.1256435977
106	0.1246746341
107	0.1237302252
108	0.1227880809
109	0.1218782712
110	0.1209936088
111	0.1202401967
112	0.1194297261
113	0.1187167732
114	0.1180200468
115	0.1172752874
116	0.1165868686
117	0.1158262949
118	0.1149876941
119	0.1142641509
120	0.1136538498
121	0.1131098482
122	0.1123127604
123	0.1116696218
124	0.1110790444
125	0.110544677
126	0.1099497264
127	0.1095017536
128	0.1090201986
129	0.1085698606
130	0.1079800532
131	0.1074274598
132	0.1068967438
133	0.1064581911
134	0.1059477579
135	0.1055218271
136	0.1050426125
137	0.1046825064
138	0.1043521757
139	0.1039083585
140	0.1035378281
141	0.1031777083
142	0.1028664511
143	0.1024238652
144	0.1021221001
145	0.1018111917
146	0.101504523
147	0.1012250138
148	0.1009902149
149	0.1005611217
150	0.100294328
151	0.09978341875
152	0.09955955678
153	0.0992179346
154	0.09888120471
155	0.09865305006
156	0.09823875459
157	0.09805544853
158	0.09784633495
159	0.09763369125
160	0.09744320198
161	0.09723304763
162	0.09707334963
163	0.09690807693
164	0.09672138826
165	0.09654038005
166	0.09625755734
167	0.0960853875
168	0.09592141996
169	0.09577358973
170	0.09550797868
171	0.09535957061
172	0.09522797818
173	0.09499079847
174	0.09486093871
175	0.09458772566
176	0.09423876619
177	0.09402025399
178	0.09389967646
179	0.09367091695
180	0.0934723975
181	0.09322910384
182	0.09299482451
183	0.09288951829
184	0.09279057504
185	0.09267090009
186	0.0925786923
187	0.0924000798
188	0.09208348661
189	0.09197939349
190	0.09173399997
191	0.09164100785
192	0.09135970064
193	0.0910113014
194	0.09090681831
195	0.09070658682
196	0.0903645616
197	0.09028811336
198	0.09000040903
199	0.08979205234
200	0.08964636869
201	0.08956026476
202	0.08924772801
203	0.08916232998
